City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
100,nangomba,-10.9,38.5,22.27,91,65,1.69,TZ,1672967620
101,grootfontein,-19.5667,18.1167,19.64,30,66,4.44,NA,1672967620
102,mahebourg,-20.4081,57.7,26.25,77,88,6.81,MU,1672967620
103,camacha,33.0833,-16.3333,13.68,77,40,1.54,PT,1672967621
104,leh,34.1667,77.5833,-18.4,32,0,1.35,IN,1672967489
105,manokwari,-0.8667,134.0833,26.63,81,100,3.51,ID,1672967622
106,east london,-33.0153,27.9116,17.79,80,100,1.9,ZA,1672967622
107,savannah bight,16.45,-85.85,26.7,69,0,6.63,HN,1672967622
108,eidsvag,62.7767,8.0668,2.03,75,100,5.64,NO,1672967623
109,juba,4.8517,31.5825,23.43,36,100,0.84,SS,1672967623
110,maniitsoq,65.4167,-52.9,-7.1,57,58,3.66,GL,1672967624
111,morondava,-20.2833,44.2833,24.45,83,58,3.18,MG,1672967625
112,adrar,20.5022,-10.0711,14.87,20,5,5.05,MR,1672967625
113,richards bay,-28.783,32.0377,22.0,96,100,4.52,ZA,1672967625
114,conde,-7.2597,-34.9075,25.7,83,20,2.57,BR,1672967626
115,chokurdakh,70.6333,147.9167,-44.91,100,97,1.36,RU,1672967626
116,birao,10.2849,22.7882,18.7,35,7,3.29,CF,1672967627
117,bambous virieux,-20.3428,57.7575,26.23,77,87,6.75,MU,1672967627
118,kodiak,57.79,-152.4072,-3.27,93,0,2.57,US,1672967628
119,biak,-0.9131,122.8766,26.74,72,100,1.13,ID,1672967628
120,bilma,18.6853,12.9164,15.62,33,100,2.09,NE,1672967629
121,cabedelo,-6.9811,-34.8339,26.37,74,16,3.9,BR,1672967411
122,bandiagara,14.3501,-3.6104,21.23,21,24,3.87,ML,1672967406
123,kismayo,-0.3582,42.5454,25.49,80,8,7.18,SO,1672967630
124,popondetta,-8.7537,148.2534,32.05,55,16,2.17,PG,1672967631
125,suntar,62.1444,117.6319,-30.69,98,100,1.36,RU,1672967631
126,pipar,26.3856,73.5378,6.93,33,0,4.63,IN,1672967632
127,upernavik,72.7868,-56.1549,-28.07,77,15,4.68,GL,1672967405
128,victoria,22.2855,114.1577,20.21,66,68,3.58,HK,1672967460
129,komoro,36.3167,138.4333,2.01,57,100,0.45,JP,1672967633
130,rawson,-43.3002,-65.1023,26.01,37,44,9.57,AR,1672967633
131,saint george,37.1041,-113.5841,8.47,93,100,4.12,US,1672967578
132,grand gaube,-20.0064,57.6608,26.32,70,25,3.13,MU,1672967364
133,sandnessjoen,66.0217,12.6316,-5.2,59,56,2.24,NO,1672967634
134,bluff,-46.6,168.3333,15.38,91,100,8.6,NZ,1672967634
135,samarai,-10.6167,150.6667,29.8,67,81,3.51,PG,1672967635
136,san felipe,10.3399,-68.7425,21.31,98,69,1.22,VE,1672967635
137,zacatepec,18.65,-99.2,26.43,35,4,0.69,MX,1672967636
138,karratha,-20.7377,116.8463,31.1,48,100,7.21,AU,1672967636
139,dhidhdhoo,6.8833,73.1,26.27,67,0,2.69,MV,1672967637
140,airai,-8.9266,125.4092,20.34,73,97,2.65,TL,1672967637
141,avarua,-21.2078,-159.775,26.03,73,75,4.63,CK,1672967638
142,san patricio,28.017,-97.5169,19.4,45,0,3.52,US,1672967638
143,huarmey,-10.0681,-78.1522,21.13,78,100,3.26,PE,1672967639
144,bontang,0.1333,117.5,26.89,76,100,2.21,ID,1672967639
145,porto murtinho,-21.6989,-57.8825,24.4,46,0,1.49,BR,1672967640
146,villa alemana,-33.0422,-71.3733,18.76,77,0,2.06,CL,1672967431
147,vila velha,-20.3297,-40.2925,26.08,87,100,4.02,BR,1672967641
148,henties bay,-22.116,14.2845,15.93,85,97,4.34,NA,1672967641
149,linhares,-19.3911,-40.0722,23.14,97,100,1.35,BR,1672967642
150,thompson,55.7435,-97.8558,-21.19,100,9,1.35,CA,1672967642
151,qeshm,26.9581,56.2719,18.3,81,100,4.79,IR,1672967643
152,margate,51.3813,1.3862,11.61,85,100,4.02,GB,1672967643
153,kuah,6.3265,99.8432,27.83,83,40,0.0,MY,1672967934
154,innisfail,-17.5333,146.0333,25.43,92,93,3.54,AU,1672967644
155,arraial do cabo,-22.9661,-42.0278,22.15,93,100,7.03,BR,1672967645
156,saint-francois,46.4154,3.9054,8.69,100,100,0.51,FR,1672967645
157,beloha,-25.1667,45.05,21.41,89,90,2.57,MG,1672967646
158,seydi,39.4816,62.9137,7.72,72,99,4.4,TM,1672967646
159,east wenatchee bench,47.4257,-120.2812,3.66,96,100,0.89,US,1672967646
160,mount gambier,-37.8333,140.7667,22.82,40,0,4.76,AU,1672967647
161,qaanaaq,77.484,-69.3632,-24.24,82,100,3.68,GL,1672967648
162,okitipupa,6.5047,4.7839,21.19,96,16,0.52,NG,1672967648
163,axim,4.8699,-2.2405,25.64,79,99,2.38,GH,1672967649
164,saint-pierre,-21.3393,55.4781,24.82,69,20,2.57,RE,1672967937
165,chimbote,-9.0853,-78.5783,20.17,80,98,2.93,PE,1672967425
166,ust-nera,64.5667,143.2,-30.66,98,100,1.54,RU,1672967650
167,longyearbyen,78.2186,15.6401,-0.09,74,75,6.69,SJ,1672967651
168,bhadasar,28.2833,74.3167,7.37,29,1,3.2,IN,1672967652
169,guerrero negro,27.9769,-114.0611,15.83,73,5,7.23,MX,1672967652
170,ampanihy,-24.7,44.75,22.08,84,14,3.58,MG,1672967653
171,kirakira,-10.4544,161.9205,29.38,74,58,4.99,SB,1672967398
172,ndele,8.4109,20.6473,22.86,34,50,3.39,CF,1672967653
173,mocuba,-16.8392,36.9856,22.88,93,6,1.4,MZ,1672967654
174,bereda,43.2686,-7.5406,6.9,100,100,1.06,ES,1672967655
175,urusha,54.05,122.9,-30.55,99,47,0.57,RU,1672967655
176,saint-philippe,-21.3585,55.7679,24.77,82,48,5.63,RE,1672967656
177,russell,32.3502,-85.1999,12.78,66,0,0.0,US,1672967657
178,salalah,17.0151,54.0924,24.05,73,75,5.14,OM,1672967657
179,amapa,1.0,-52.0,21.72,99,40,1.07,BR,1672967460
180,pontes e lacerda,-15.2261,-59.3353,21.44,96,100,0.51,BR,1672967658
181,bethanien,-26.502,17.1583,14.06,58,0,4.29,NA,1672967658
182,los llanos de aridane,28.6585,-17.9182,15.86,68,0,3.6,ES,1672967659
183,ahipara,-35.1667,173.1667,20.56,97,100,1.48,NZ,1672967659
184,chara,56.9064,118.2631,-23.97,82,95,0.72,RU,1672967660
185,kinsale,51.7075,-8.5306,4.65,93,20,5.66,IE,1672967661
186,broome,42.2506,-75.833,7.23,80,100,3.6,US,1672967567
187,alofi,-19.0595,-169.9187,28.94,65,75,4.63,NU,1672967408
188,fukue,32.6881,128.8419,11.53,57,81,4.8,JP,1672967662
189,klaksvik,62.2266,-6.589,3.51,97,100,15.38,FO,1672967662
190,sept-iles,50.2001,-66.3821,-14.97,69,60,0.89,CA,1672967663
191,asau,46.4333,26.4,8.51,73,100,4.82,RO,1672967663
192,coquimbo,-29.9533,-71.3436,17.85,77,0,3.09,CL,1672967664
193,sembe,1.6481,14.5806,21.16,57,86,1.07,CG,1672967481
194,ponta do sol,32.6667,-17.1,17.35,70,28,1.06,PT,1672967665
195,ambilobe,-13.2,49.05,22.49,94,77,1.54,MG,1672967447
196,dapaong,10.8639,0.205,23.5,26,31,2.86,TG,1672967665
197,kaitangata,-46.2817,169.8464,17.23,95,99,3.56,NZ,1672967666
198,broken hill,-31.95,141.4333,26.15,26,0,6.15,AU,1672967666
199,keetmanshoop,-26.5833,18.1333,13.93,58,0,5.09,NA,1672967667
200,bilibino,68.0546,166.4372,-38.61,99,93,0.96,RU,1672967667
